BJD	RV	RVerr	RHK	RHKerr	S	Serr	BIS	BISerr	FWHM	FWHMerr	Constrast	Contrasterr
5.725198008409460454e+04	-1.761166666666666458e+01	1.126141649960427787e-01	-4.980000000000000426e+00	6.928203230275508046e-04	1.630100000000000160e-01	1.150854754809079697e-04	-9.010218081969732395e+01	2.252283299920853910e-01	7.781944333333332906e+03	2.252283299920853910e-01	6.006608499999999395e+01	1.760306306998299939e-03
5.725287920852556999e+04	-1.749633333333333596e+01	1.187033074802930493e-01	-4.980566666666666364e+00	7.505553499465134710e-04	1.629086666666666738e-01	1.241312029892385988e-04	-8.986600498266484749e+01	2.374066149605860987e-01	7.782488333333333685e+03	2.374066149605860987e-01	6.008959200000000322e+01	1.856109580203888073e-03
5.725392418441180052e+04	-1.755966666666666853e+01	1.163029598972925432e-01	-4.981833333333333336e+00	7.318166133366715322e-04	1.627013333333333367e-01	1.206671270709448735e-04	-9.036862091368344352e+01	2.326059197945850865e-01	7.781470000000000255e+03	2.326059197945850865e-01	6.009139633333333563e+01	1.818909066760363361e-03
5.725511323002979771e+04	-1.975566666666666649e+01	1.147822435392672064e-01	-4.978733333333333455e+00	6.928203230275508046e-04	1.632186666666666508e-01	1.183577439610757195e-04	-9.227169867428953864e+01	2.295644870785346070e-01	7.782884333333332506e+03	2.295644870785346070e-01	6.008010099999999198e+01	1.794491492786250879e-03
5.725588684520369861e+04	-1.805866666666666731e+01	1.214756647372364634e-01	-4.976233333333333064e+00	7.505553499465134710e-04	1.636413333333333331e-01	1.277871494147809507e-04	-9.171527130711753273e+01	2.429513294744727325e-01	7.783799666666665871e+03	2.429513294744727325e-01	6.009100800000000930e+01	1.899274981350860441e-03
5.725914204134904867e+04	-1.574666666666666792e+01	1.142447898900503661e-01	-4.966899999999999871e+00	6.928203230275508046e-04	1.652406666666666746e-01	1.187420172755485276e-04	-8.864827483502192251e+01	2.284895797801007322e-01	7.788689333333332797e+03	2.284895797801007322e-01	6.004331133333332815e+01	1.783745226204635527e-03
5.726113331115732581e+04	-1.534333333333333371e+01	1.136866052022992984e-01	-4.965399999999999814e+00	6.928203230275508046e-04	1.655029999999999835e-01	1.181646685303559406e-04	-8.714331250296793030e+01	2.273732104045987912e-01	7.788531666666666752e+03	2.273732104045987912e-01	6.002916700000000105e+01	1.774699459659614433e-03
5.726193471214175224e+04	-1.746600000000000108e+01	1.180403728646552547e-01	-4.968166666666667730e+00	6.928203230275508046e-04	1.650289999999999813e-01	1.239381566212224524e-04	-8.724496609100724243e+01	2.360807457293105094e-01	7.786275666666667348e+03	2.360807457293105094e-01	6.005138033333333425e+01	1.843913608816119239e-03
5.726316294601008121e+04	-1.754966666666666697e+01	1.147516400187488239e-01	-4.971266666666667611e+00	6.928203230275508046e-04	1.644906666666666462e-01	1.195124354292147287e-04	-8.871443166028872440e+01	2.295032800374976478e-01	7.784181666666666388e+03	2.295032800374976478e-01	6.004051700000000125e+01	1.792738463164609414e-03
5.726397461389168893e+04	-1.790966666666666640e+01	1.156463594422649926e-01	-4.970666666666666345e+00	6.928203230275508046e-04	1.645933333333333415e-01	1.198976415299502098e-04	-8.947709968144924630e+01	2.312927188845298188e-01	7.784088999999999942e+03	2.312927188845298188e-01	6.004771966666666572e+01	1.806974166634551680e-03
5.726505711788827466e+04	-1.715433333333333010e+01	1.147627258065252870e-01	-4.972500000000000142e+00	6.928203230275508046e-04	1.642786666666666839e-01	1.187420172755485276e-04	-8.870636918215917888e+01	2.295254516130509348e-01	7.784663666666667268e+03	2.295254516130509348e-01	6.004243400000000719e+01	1.792895923429873662e-03
5.726613164115887048e+04	-1.832600000000000406e+01	1.153437622782741007e-01	-4.972900000000000098e+00	6.928203230275508046e-04	1.642043333333333133e-01	1.200888559914421494e-04	-8.867723702331151969e+01	2.306875245565482013e-01	7.783370333333332383e+03	2.306875245565482013e-01	6.004739366666666456e+01	1.802450476877479925e-03
5.726691520497083548e+04	-1.628233333333333732e+01	1.224799963164756450e-01	-4.973200000000000287e+00	7.505553499465134710e-04	1.641613333333333258e-01	1.299046658985820383e-04	-8.930375044522952521e+01	2.449599926329510680e-01	7.782985000000000582e+03	2.449599926329510680e-01	6.007281733333334017e+01	1.914890058894929336e-03
5.726786173013692314e+04	-1.769933333333333181e+01	1.243958102421445361e-01	-4.972966666666667201e+00	7.895146188218008258e-04	1.642030000000000156e-01	1.335656309751044265e-04	-8.995977183119053677e+01	2.487916204842890722e-01	7.783306000000000495e+03	2.487916204842890722e-01	6.007863933333333506e+01	1.944964122764244715e-03
5.726899904854912165e+04	-1.755566666666666720e+01	1.131740470270490989e-01	-4.972733333333333228e+00	6.928203230275508046e-04	1.642380000000000229e-01	1.166247543763043981e-04	-8.938459795327499080e+01	2.263480940540980590e-01	7.784077000000000226e+03	2.263480940540980590e-01	6.004945466666666221e+01	1.768490787572449263e-03
5.727003197692429239e+04	-1.880266666666666708e+01	1.147574183494910888e-01	-4.974666666666666792e+00	6.928203230275508046e-04	1.639136666666666520e-01	1.187420172755485276e-04	-8.891352581691675994e+01	2.295148366989823441e-01	7.783458333333333030e+03	2.295148366989823441e-01	6.005728566666666524e+01	1.793629071269685175e-03
5.727108115630353859e+04	-1.828000000000000114e+01	1.149902583494899627e-01	-4.974666666666666792e+00	6.928203230275508046e-04	1.639066666666666727e-01	1.189341554530629080e-04	-8.968446235743681427e+01	2.299805166989797589e-01	7.783240666666665675e+03	2.299805166989797589e-01	6.005955700000000519e+01	1.797402818824122899e-03
5.727293564436733868e+04	-1.959433333333333138e+01	1.203904857808393153e-01	-4.979299999999999393e+00	7.505553499465134710e-04	1.631240000000000190e-01	1.266324515192601620e-04	-9.014573974151754499e+01	2.407809715616784640e-01	7.782636999999999716e+03	2.407809715616784640e-01	6.007683533333332804e+01	1.882529161903238402e-03
5.727404854122327379e+04	-1.900000000000000000e+01	1.177361051596291786e-01	-4.977733333333334009e+00	7.125852775477316053e-04	1.633853333333333546e-01	1.230578003306666594e-04	-9.038972985910173463e+01	2.354722103192583293e-01	7.782228333333332557e+03	2.354722103192583293e-01	6.008007966666666988e+01	1.841272360827175348e-03
